order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_timestamp,order_estimated_delivery_date
MUTiAkk8Ohjx,0dP1RSBypl8a,delivered,2018-06-02 18:37:14,2018-06-02 18:51:31,2018-10-17 13:22:46,2018-07-13
629zJ7GWjeXK,yxOiv0oibM1R,delivered,2018-05-21 06:48:46,2018-05-21 06:57:03,2018-10-11 16:41:14,2018-06-27
ifXuTaaNZaZD,GkzjoABy52Rn,delivered,2018-07-30 09:08:06,2018-07-30 09:44:33,2018-10-02 00:18:50,2018-08-14
PWAc5ZhUbtng,BV8JvgGZJiDX,delivered,2018-07-22 09:54:03,2018-07-23 11:31:46,2018-09-27 02:24:33,2018-08-17
TkHntlzRrrEq,dMX7zzieQz7S,delivered,2018-08-01 19:43:06,2018-08-01 20:30:23,2018-09-21 15:55:02,2018-08-23
a46imQ3Egdk9,3pNPHq2hpl0o,delivered,2018-07-23 10:22:26,2018-07-23 13:20:19,2018-09-20 16:08:33,2018-08-13
I7Uy2GUAWB08,6QXA9Gqv1Mqz,delivered,2018-02-23 14:57:35,2018-02-23 15:16:14,2018-09-19 23:24:07,2018-03-15
F8mhZNetCqUo,8sDiRTiEpPGV,delivered,2018-08-06 14:32:27,2018-08-06 14:44:46,2018-09-19 16:44:44,2018-08-17
4J6kushiOyXL,Whc2zZx7qjID,delivered,2018-07-03 22:13:48,2018-07-05 16:15:23,2018-09-19 15:46:39,2018-07-31
ez4xZyiJeP5m,QnVthMETOqpx,delivered,2018-07-20 13:14:25,2018-07-20 13:25:09,2018-09-17 13:49:04,2018-08-16
rUirzWnWW4Lr,RArH98SoS0al,delivered,2018-07-27 13:50:48,2018-07-27 14:31:19,2018-09-14 17:11:19,2018-08-13
RfK1YC9kqpBl,wJZb6Cd2NkxF,delivered,2018-07-29 18:24:11,2018-07-30 09:31:10,2018-09-13 21:22:27,2018-08-21
bR4HhzVOPBBH,rrVfXqrUZOCy,delivered,2018-08-15 07:19:56,2018-08-16 04:35:11,2018-09-13 19:24:35,2018-08-28
ZmGg3xkD7XjJ,5CLx5Ilt8F9M,delivered,2018-06-25 16:44:38,2018-06-25 17:18:51,2018-09-12 15:51:39,2018-07-16
Pu2stn7Ov19R,sbaH8vUTBDA2,delivered,2018-08-06 17:19:01,2018-08-06 17:44:33,2018-09-12 02:38:41,2018-08-28
1nFPA9zMHhw1,YtZmu5tF8XZo,delivered,2018-08-14 17:49:36,2018-08-14 18:35:18,2018-09-11 00:37:34,2018-08-24
9TPKNU4cRSPt,0K3uqXPgOSKz,delivered,2018-08-09 10:00:38,2018-08-10 13:05:22,2018-09-10 20:41:18,2018-08-23
nagCdT81afGS,038aoxV5r51k,delivered,2018-08-02 13:38:58,2018-08-02 13:50:23,2018-09-10 19:53:45,2018-08-23
197lFYxfy1S3,8Iu4HLNFX2B3,delivered,2018-07-28 09:22:31,2018-07-30 07:24:39,2018-09-08 14:36:27,2018-08-20
9VpxncAA0sN7,KJUb0l6MnDkd,delivered,2018-08-01 17:27:04,2018-08-01 18:31:30,2018-09-06 22:12:34,2018-08-21
8ktIqHTN3ONQ,Dh7pNXA2PAmL,delivered,2018-07-25 06:01:17,2018-07-26 03:24:23,2018-09-06 11:41:13,2018-08-20
pVSX2NISkKQi,KeH8q5LyKZpA,delivered,2018-08-14 17:02:40,2018-08-14 17:15:32,2018-09-05 22:22:01,2018-08-29
tiXdDvaXJbF7,12WRE9qEKHcW,delivered,2018-08-15 03:24:22,2018-08-15 03:44:01,2018-09-05 22:03:51,2018-08-24
GqZyqeSWTgCt,L440XjlXYC01,delivered,2018-06-21 17:27:55,2018-06-21 18:21:15,2018-09-05 18:06:50,2018-07-24
JzZ5DMblZKyM,oYuZIJVQakiu,delivered,2018-08-10 17:15:28,2018-08-10 17:30:16,2018-09-05 16:56:56,2018-08-22
02y3zqJ1WrBt,aPCzOQSPdx5x,delivered,2018-08-14 21:28:20,2018-08-14 21:44:02,2018-09-04 21:33:01,2018-08-22
Te1gbwzNb6Wr,UYNuNbqXGovc,delivered,2018-08-13 20:11:13,2018-08-13 20:25:16,2018-09-04 20:06:58,2018-08-24
ocEdfwIKOMPZ,5qpmuHtK4IjZ,delivered,2018-08-10 18:32:06,2018-08-10 18:44:33,2018-09-04 03:18:42,2018-08-23
yeYkcTm9GxrF,VlaV52T18HVL,delivered,2018-08-19 20:53:28,2018-08-20 13:15:59,2018-09-04 01:28:45,2018-08-24
OdM0MyRmKBVf,wTAwWyRyGz4e,delivered,2018-08-04 13:54:21,2018-08-04 14:10:14,2018-09-03 23:37:44,2018-08-21
BBoKsuNuokJK,PZHYwdwWpj6M,delivered,2018-07-24 12:45:42,2018-07-24 13:24:39,2018-09-03 23:33:13,2018-08-22
2BeJJKCc49J8,mJSm0CDbD4KX,delivered,2018-07-30 15:27:39,2018-07-30 16:07:01,2018-09-03 20:31:06,2018-08-27
4SfrHCHoLSks,5EkLNiHAXQ8y,delivered,2018-08-15 21:41:45,2018-08-17 03:30:00,2018-09-03 19:06:55,2018-08-23
RvkNnXNLUXWf,G4GoEYciCcod,delivered,2018-08-04 23:39:27,2018-08-07 04:15:21,2018-09-03 18:59:30,2018-08-16
lSpQPHYJcXFZ,OdVzFg3p8rTh,delivered,2018-08-24 18:26:00,2018-08-24 18:43:57,2018-09-03 18:18:49,2018-08-29
FWJbv0CADlj6,cHnmrZV1rdXA,delivered,2018-08-02 12:07:36,2018-08-03 04:35:17,2018-09-03 17:38:39,2018-08-27
IGuP8rAT9zPF,yxB22n21jKWX,delivered,2018-08-24 13:59:41,2018-08-24 14:24:25,2018-09-03 17:18:42,2018-08-29
P649iBRX0uN1,AbnHvF4pfnDH,delivered,2018-08-06 12:35:39,2018-08-06 12:45:20,2018-09-03 16:59:03,2018-08-29
AlXFmudpYLsS,s1ZZBkXzsC2h,delivered,2018-08-15 14:02:53,2018-08-17 03:09:55,2018-09-03 15:36:49,2018-08-22
Kb7XzvCqMPc8,7ifZsBFfKo7X,delivered,2018-08-15 14:02:53,2018-08-17 03:09:55,2018-09-03 15:36:49,2018-08-22
IxG1G31wOTw4,zFs2O1yFH2zJ,delivered,2018-08-15 14:02:53,2018-08-17 03:09:55,2018-09-03 15:36:49,2018-08-22
xpQghFBoYiYq,Gn9BOqZVdl2g,delivered,2018-08-06 18:25:54,2018-08-09 15:50:14,2018-09-03 15:28:36,2018-08-24
ZRgdnxEbthqy,QA7LdwHd8ZhK,delivered,2018-08-04 16:55:24,2018-08-04 17:10:08,2018-09-03 15:24:34,2018-08-14
sQQyMvLxycSE,JjirjPZoqtOR,delivered,2018-08-10 11:46:09,2018-08-11 02:50:25,2018-09-03 09:32:31,2018-08-28
ZSjKhLgfia2w,hcPa8iZCd8vs,delivered,2018-08-14 14:49:15,2018-08-15 03:15:15,2018-09-01 18:14:42,2018-08-23
6CQFeXMvup3q,E1u7ZITLptM5,delivered,2018-08-13 17:28:36,2018-08-13 17:44:12,2018-09-01 02:18:43,2018-08-22
eWZ7T87Ecba8,5qqzMzMyrZzj,delivered,2018-07-24 08:10:01,2018-07-24 11:23:32,2018-09-01 01:22:46,2018-08-22
fcTGeihUIige,JNCaayf10x9f,delivered,2018-08-11 20:55:28,2018-08-11 21:05:14,2018-09-01 00:36:42,2018-08-28
nLRCvgYHpDrL,RbSTSCYS2ALM,delivered,2018-07-29 17:56:09,2018-07-29 18:05:11,2018-09-01 00:34:24,2018-08-20
hdpKYesvGZeq,3QWW2QATQoks,delivered,2018-08-10 15:08:54,2018-08-11 02:50:24,2018-08-31 23:58:27,2018-08-16
uGKvoty0fOZy,pG82Ae6fQuy6,delivered,2018-08-05 13:34:48,2018-08-07 10:35:09,2018-08-31 20:12:48,2018-08-22
SmC12Ut8sFzE,x0A5gDUbfXoi,delivered,2018-08-14 12:25:42,2018-08-14 12:44:05,2018-08-31 16:41:44,2018-08-29
gpy9qvptMOe2,Abe10LFJoMeI,delivered,2018-08-20 10:18:24,2018-08-20 14:55:33,2018-08-31 14:41:58,2018-08-23
0NPi2NUtSugM,DTJZF3r0oXIL,delivered,2018-08-08 15:15:17,2018-08-08 15:30:16,2018-08-31 13:06:46,2018-08-24
8ftdhENePuBx,CWSpxLgDzXOc,delivered,2018-08-16 09:27:20,2018-08-16 09:43:58,2018-08-31 05:20:37,2018-09-03
DuQkA3RWvkE2,woqgbWoOAWJf,delivered,2018-08-22 14:53:58,2018-08-23 14:50:22,2018-08-31 02:36:23,2018-09-04
oFBXhaB5qAyA,KZHfMyBVuvw0,delivered,2018-08-22 21:56:07,2018-08-22 22:05:18,2018-08-31 02:21:48,2018-08-31
4O4rmbNggHUh,4xI1ceq48lnh,delivered,2018-08-28 22:51:54,2018-08-28 23:05:10,2018-08-31 02:03:50,2018-08-31
Y0ZNsEvtTKR0,6tW8nQuStJho,delivered,2018-08-27 10:46:11,2018-08-27 11:04:18,2018-08-31 02:03:13,2018-09-05
JaXlnjfknuHQ,9GDjocN6ekMx,delivered,2018-08-22 11:04:45,2018-08-23 02:45:24,2018-08-31 01:37:31,2018-09-04
01tF7DqV6Iwt,jqwU9OePjEdL,delivered,2018-08-24 19:01:02,2018-08-24 19:15:11,2018-08-31 01:13:33,2018-09-12
7ANkPStyWeBm,UvtJg9xMoDx6,delivered,2018-08-26 16:12:27,2018-08-26 16:25:17,2018-08-31 01:03:11,2018-09-05
w9m8gwVSyZjo,tetVnwv66V6w,delivered,2018-08-27 21:04:17,2018-08-27 21:40:06,2018-08-31 00:56:31,2018-09-24
RVYM0IxNXTGK,2lNke3XqbiFO,delivered,2018-08-14 18:43:56,2018-08-15 03:10:43,2018-08-31 00:48:33,2018-08-31
pRNmrGYCaJfB,Pz3QCmgLSIgJ,delivered,2018-08-09 13:21:48,2018-08-20 15:55:42,2018-08-31 00:14:30,2018-08-29
GBs6lULO3FHH,JB9LcrLjvuir,delivered,2018-08-24 17:17:46,2018-08-25 17:15:13,2018-08-30 23:58:44,2018-09-10
WY9XL2MHnpwt,5zAULfTLpHFM,delivered,2018-08-27 17:18:42,2018-08-28 17:15:19,2018-08-30 23:58:30,2018-08-31
T2lgT9c4MgYH,8UHIyn5WUpZy,delivered,2018-08-27 17:18:42,2018-08-28 17:15:19,2018-08-30 23:58:30,2018-08-31
XLMaoLXCVVe1,jaLrisHOb5RB,delivered,2018-08-29 11:06:11,2018-08-29 11:24:02,2018-08-30 23:56:54,2018-09-04
MxzCe47cpVB8,YAAE1sAv7z8c,delivered,2018-08-23 08:59:28,2018-08-23 17:45:16,2018-08-30 23:51:50,2018-09-06
UzUQRIoW6plf,yHVLCqtaev06,delivered,2018-08-17 18:28:47,2018-08-17 18:49:56,2018-08-30 23:46:48,2018-09-12
sNSmlkWTDRcy,ucE788GUAAOC,delivered,2018-08-19 17:12:43,2018-08-20 12:30:36,2018-08-30 23:42:49,2018-08-31
TmWHKn6174SI,Bn0ZetITQUmL,delivered,2018-08-26 13:23:23,2018-08-26 13:35:09,2018-08-30 23:40:54,2018-09-10
sv0IG0xbCNVE,n5MSBFMwJxFr,delivered,2018-08-26 13:23:23,2018-08-26 13:35:09,2018-08-30 23:40:54,2018-09-10
F06FxY2X3MNO,1kWmKPhpNwiJ,delivered,2018-08-13 22:51:49,2018-08-13 23:04:09,2018-08-30 23:38:26,2018-10-25
9BSTIWxSPBbT,tX7lzsFQosqm,delivered,2018-08-15 21:43:42,2018-08-15 21:55:17,2018-08-30 23:34:40,2018-09-11
bYJpq2QLbTSA,B0nOManoGPIe,delivered,2018-08-29 09:48:09,2018-08-29 10:04:16,2018-08-30 23:28:52,2018-09-04
k41PUvYQDrPV,pl9KguKV7SD2,delivered,2018-08-25 11:15:44,2018-08-25 11:25:20,2018-08-30 23:20:50,2018-09-11
e2UzFYomcqk9,UxZdpl2kVUi9,delivered,2018-08-28 19:31:41,2018-08-28 19:43:55,2018-08-30 23:18:35,2018-09-03
frfoRAWRieLA,4X48b3rBZyCG,delivered,2018-08-27 18:50:06,2018-08-27 19:05:19,2018-08-30 23:16:46,2018-09-04
xTPajwi7euHb,DM0laQyaSOsO,delivered,2018-08-22 13:54:18,2018-08-22 14:05:14,2018-08-30 23:16:19,2018-09-10
qH9XzlZgAf0Q,JygqIxDtTy7H,delivered,2018-08-24 19:42:51,2018-08-24 19:55:21,2018-08-30 23:15:37,2018-09-11
wZ2NBZOfuZWJ,lrZqWSDXlR8X,delivered,2018-08-27 09:08:47,2018-08-28 04:04:05,2018-08-30 23:12:25,2018-08-30
GffidK3JuIiv,6w2B1n7lIY8n,delivered,2018-08-24 22:21:24,2018-08-25 22:24:03,2018-08-30 23:08:27,2018-10-16
KLXZOx9VaLlQ,qigKiqrXXOKP,delivered,2018-08-24 22:21:24,2018-08-25 22:24:03,2018-08-30 23:08:27,2018-10-16
LIkEiIax8s8J,BESYlViBzmnP,delivered,2018-08-24 16:32:04,2018-08-24 16:45:18,2018-08-30 23:06:51,2018-09-05
mPeXvBbaDVZE,4R7RnqnPob8A,delivered,2018-08-23 21:39:21,2018-08-23 21:50:14,2018-08-30 23:05:40,2018-08-30
xPFrrzEhaGxk,hojmCZqBanWB,delivered,2018-08-26 19:56:12,2018-08-26 20:10:15,2018-08-30 23:03:32,2018-09-18
xmvQeo6eveHk,QQ0o4UHwvgnx,delivered,2018-08-25 22:15:54,2018-08-25 22:25:08,2018-08-30 22:58:48,2018-09-05
3qaNOB0938es,I1gFa4QIqudP,delivered,2018-08-25 09:46:04,2018-08-27 13:15:03,2018-08-30 22:58:26,2018-09-14
s2MvGTL6P8aG,zZDvYZlDFwLW,delivered,2018-08-22 20:57:08,2018-08-23 20:55:29,2018-08-30 22:51:54,2018-09-24
ixBVeJ1MGRir,GDJkCp9OBESo,delivered,2018-08-24 23:42:21,2018-08-24 23:55:13,2018-08-30 22:49:32,2018-09-04
RImjkTLqWUnn,QLBiygf1I0aG,delivered,2018-08-29 12:25:59,2018-08-29 12:35:17,2018-08-30 22:48:27,2018-09-03
sg9i5M2zKV8F,1oRS8Vpi4D51,delivered,2018-08-24 19:23:00,2018-08-24 19:30:17,2018-08-30 22:42:26,2018-08-30
E9h4zSzmc1CO,vazGfQwRkVM6,delivered,2018-08-16 10:45:03,2018-08-17 03:29:53,2018-08-30 22:41:45,2018-08-30
sJO8B8163Gm8,flqbJXuJpKu1,delivered,2018-08-23 09:51:51,2018-08-23 10:04:50,2018-08-30 22:41:43,2018-09-20
n1HUCPGXEoI7,yMSL0eXr3idA,delivered,2018-08-28 13:28:34,2018-08-28 13:44:54,2018-08-30 22:41:16,2018-09-04
CSXYcCMeL8ia,3NZZ9E2yF3Cb,delivered,2018-08-23 19:14:36,2018-08-23 19:25:13,2018-08-30 22:38:55,2018-09-06
t3wPgcqCgWNk,YPIZHSBEvoo4,delivered,2018-08-24 13:23:32,2018-08-24 13:44:29,2018-08-30 22:38:52,2018-08-31
dcdNJXk1Q83o,ntN2rQoK9nyi,delivered,2018-08-24 13:23:32,2018-08-24 13:44:29,2018-08-30 22:38:52,2018-08-31
